Category,Task,Difficulty,Core Objective,Required_Tools,Supplementary_Tools,Min_Actions,Needs_Temporal,Needs_Multi_Site
Spatial Density Analysis,Density Comparison,easy,Comparing two sites on population density score to determine which location is denser.,analyze_urban_density,classify_land_use,4,False,True
Spatial Density Analysis,Density Comparison,medium,Comparing three or four sites on population density and land-use to rank them and resolve trade-offs across turns.,analyze_urban_density;classify_land_use,detect_infrastructure;submit_site_assessment,8,False,True
Land Use Analysis,Land Use Verification,easy,Verifying that a single site has the expected land-use categories by classifying the satellite image.,classify_land_use,analyze_urban_density,3,False,False
Land Use Analysis,Land Use Verification,medium,Verifying land-use categories across two sites and comparing their profiles to resolve a planning question.,classify_land_use;analyze_urban_density,detect_infrastructure;submit_site_assessment,6,False,True
Infrastructure Analysis,Infrastructure Detection,easy,Checking the presence or absence of one or two specific infrastructure elements at a single site.,detect_infrastructure,classify_land_use,3,False,False
Infrastructure Analysis,Infrastructure Detection,medium,Checking multiple infrastructure elements across two sites and combining findings to support a planning decision.,detect_infrastructure;classify_land_use,analyze_urban_density;submit_site_assessment,6,False,True
Site Evaluation,Suitability,easy,Determining if a site meets two basic criteria (land-use category and density threshold) with a simple pass/fail verdict.,classify_land_use;analyze_urban_density,detect_infrastructure,3,False,False
Site Evaluation,Suitability,medium,Evaluating a site against multiple criteria including land-use categories infrastructure presence and density threshold with re-evaluation when a criterion fails.,classify_land_use;analyze_urban_density;detect_infrastructure,submit_site_assessment,6,False,False
Site Evaluation,Encroachment,easy,Identifying a land-use mismatch at a single site where infrastructure presence contradicts the expected land-use category.,classify_land_use;detect_infrastructure,analyze_urban_density,3,False,False
Site Evaluation,Encroachment,medium,Identifying and documenting a land-use conflict using land-use categories density score and multiple infrastructure checks before submitting a formal assessment.,classify_land_use;detect_infrastructure;analyze_urban_density,submit_site_assessment,6,False,False
Urban Profiling,Urban Profile,easy,Building a basic profile of a single site covering land-use categories and population density score.,classify_land_use;analyze_urban_density,detect_infrastructure,3,False,False
Urban Profiling,Urban Profile,medium,Building and comparing detailed urban profiles for two sites covering land-use infrastructure presence and density to support a policy recommendation.,classify_land_use;analyze_urban_density;detect_infrastructure,submit_site_assessment,7,False,True
